index,rain_sum,city,,,,,,,
0,0,Colombo,,Percentile Table,,,Summary of Data,,
1,0.1,Colombo,,25%,1.1,,,,
2,0.6,Colombo,,50%,3.8,,Mean,7.184967453,
3,0,Colombo,,75%,9.6,,Standard Error,0.147405237,
4,0,Colombo,,,,,Median,3.8,
5,0,Colombo,,,,,Mode,0,
6,0,Colombo,,,,,Standard Deviation,10.33519916,
7,0.8,Colombo,,,,,Sample Variance,106.8163416,
8,3.2,Colombo,,,,,Kurtosis,45.84428305,
9,0.1,Colombo,,,,,Skewness,4.683327684,
10,0.7,Colombo,,,,,Range,198.7,
11,6.8,Colombo,,,,,Minimum,0,
12,4.8,Colombo,,,,,Maximum,198.7,
13,5.7,Colombo,,,,,Sum,35321.3,
14,0,Colombo,,,,,Count,4916,
15,3.3,Colombo,,,,,,,
16,2.7,Colombo,,,,,,,
17,4.5,Colombo,,,,,,,
18,4.9,Colombo,,,,,,,
19,0,Colombo,,,,,,Frequency Table,
20,0,Colombo,,Values,lower bin,upper bin,,upper bin,Frequency
21,0,Colombo,,0 to 25,0,25,,25,4673
22,0,Colombo,,25 to 50,25,50,,50,205
23,0,Colombo,,50 to 75,50,75,,75,28
24,0,Colombo,,75 to 100,75,100,,100,4
25,0,Colombo,,100 to 125,100,125,,125,4
26,0.2,Colombo,,125 to 150,125,150,,150,1
27,0.1,Colombo,,150 to 175,150,175,,175,0
28,0,Colombo,,175 to 200,175,200,,200,1
29,48.9,Colombo,,,,,,Total,4916
30,3.8,Colombo,,,,,,,
31,17.1,Colombo,,,,,,,
32,10.4,Colombo,,,,,,,
33,0,Colombo,,,,,,,
34,0,Colombo,,,,,,,
35,0,Colombo,,,,,,,
36,0,Colombo,,,,,,,
37,0,Colombo,,,,,,,
38,0,Colombo,,,,,,,
39,1.1,Colombo,,,,,,,
40,2,Colombo,,,,,,,
41,0.7,Colombo,,,,,,,
42,0.7,Colombo,,,,,,,
43,3.6,Colombo,,,,,,,
44,0,Colombo,,,,,,,
45,0.1,Colombo,,,,,,,
46,2.6,Colombo,,,,,,,
47,6.8,Colombo,,,,,,,
48,19.7,Colombo,,,,,,,
49,0.1,Colombo,,,,,,,
50,0.9,Colombo,,,,,,,
51,0,Colombo,,,,,,,
52,0,Colombo,,,,,,,
53,0.3,Colombo,,,,,,,
54,3.6,Colombo,,,,,,,
55,0,Colombo,,,,,,,
56,0,Colombo,,,,,,,
57,0,Colombo,,,,,,,
58,0.1,Colombo,,,,,,,
59,0,Colombo,,,,,,,
60,0,Colombo,,,,,,,
61,0,Colombo,,,,,,,
62,1.7,Colombo,,,,,,,
63,0,Colombo,,,,,,,
64,0,Colombo,,,,,,,
65,0,Colombo,,,,,,,
66,0.9,Colombo,,,,,,,
67,0.1,Colombo,,,,,,,
68,0,Colombo,,,,,,,
69,0.2,Colombo,,,,,,,
70,6.6,Colombo,,,,,,,
71,4.4,Colombo,,,,,,,
72,1.1,Colombo,,,,,,,
73,0.2,Colombo,,,,,,,
74,0.3,Colombo,,,,,,,
75,0,Colombo,,,,,,,
76,2.2,Colombo,,,,,,,
77,0.5,Colombo,,,,,,,
