,temperature_2m_mean,city,,,,,,,,,
0,26.1,Colombo,,,,,,,,,
1,26.2,Colombo,,Percentile Table,,,,,,Summary of Data,
2,26,Colombo,,25%,26.1,,,,,,
3,25.3,Colombo,,50%,26.6,,,,,Mean,26.71574451
4,24.5,Colombo,,75%,27.2,,,,,Standard Error,0.013643921
5,25,Colombo,,,,,,,,Median,26.6
6,25.8,Colombo,,,,,,,,Mode,26.8
7,25.5,Colombo,,,,,,,,Standard Deviation,0.956632507
8,25.9,Colombo,,,,,,,,Sample Variance,0.915145753
9,26.1,Colombo,,,,,,,,Kurtosis,0.847328336
10,26.4,Colombo,,,,,,,,Skewness,0.300357879
11,26.1,Colombo,,,,,,,,Range,8.7
12,26.2,Colombo,,,,,,,,Minimum,21.2
13,26.2,Colombo,,,,,,,,Maximum,29.9
14,26.5,Colombo,,,,,,,,Sum,131334.6
15,26.6,Colombo,,,,,,,,Count,4916
16,26.5,Colombo,,,,,,,,,
17,26.1,Colombo,,,,,,,,,
18,26.8,Colombo,,,,,,,,,
19,26.8,Colombo,,,,,,,,,
20,26.4,Colombo,,,,,,,,,
21,26.1,Colombo,,,,,,,,,
22,25.9,Colombo,,,,,,,,,
23,26.7,Colombo,,,,,,,,,
24,27.3,Colombo,,,,,,,,,
25,27.9,Colombo,,,,,,,,,
26,28,Colombo,,,,,,,,,
27,28.1,Colombo,,,,,,,,,
28,28.1,Colombo,,,,,,,,,
29,25.9,Colombo,,,,,,,,,
30,26.8,Colombo,,,,,,,,,
31,26.5,Colombo,,,,,,,,,
32,26.8,Colombo,,,,,,,,,
33,26.9,Colombo,,,,,,,,,
34,27,Colombo,,,,,,,,,
35,27.2,Colombo,,,,,,,,,
36,27.4,Colombo,,,,,,,,,
37,27.2,Colombo,,,,,,,,,
38,27.5,Colombo,,,,,,,,,
39,26.6,Colombo,,,,,,,,,
40,28.3,Colombo,,,,,,,,,
41,27.5,Colombo,,,,,,,,,
42,26.9,Colombo,,,,,,,,,
43,27.5,Colombo,,,,,,,,,
44,27.8,Colombo,,,,,,,,,
45,28.5,Colombo,,,,,,,,,
46,28,Colombo,,,,,,,,,
47,28,Colombo,,,,,,,,,
48,26.8,Colombo,,,,,,,,,
49,27.7,Colombo,,,,,,,,,
50,27.6,Colombo,,,,,,,,,
51,28.3,Colombo,,,,,,,,,
52,28.5,Colombo,,,,,,,,,
53,28.1,Colombo,,,,,,,,,
54,27.2,Colombo,,,,,,,,,
55,27.7,Colombo,,,,,,,,,
56,28.1,Colombo,,,,,,,,,
57,28,Colombo,,,,,,,,,
58,28.2,Colombo,,,,,,,,,
59,28.1,Colombo,,,,,,,,,
60,28,Colombo,,,,,,,,,
61,28.4,Colombo,,,,,,,,,
62,27.7,Colombo,,,,,,,,,
63,27.2,Colombo,,,,,,,,,
64,27.8,Colombo,,,,,,,,,
65,29,Colombo,,,,,,,,,
66,29.2,Colombo,,,,,,,,,
67,29.2,Colombo,,,,,,,,,
68,29.2,Colombo,,,,,,,,,
69,29.7,Colombo,,,,,,,,,
70,28.5,Colombo,,,,,,,,,
71,28.3,Colombo,,,,,,,,,
72,28.4,Colombo,,,,,,,,,
73,28.3,Colombo,,,,,,,,,
74,28.2,Colombo,,,,,,,,,
75,28.7,Colombo,,,,,,,,,
76,28.1,Colombo,,,,,,,,,
77,28.5,Colombo,,,,,,,,,
78,29.6,Colombo,,,,,,,,,
79,29,Colombo,,,,,,,,,
80,28.7,Colombo,,,,,,,,,
81,28.2,Colombo,,,,,,,,,
82,27.8,Colombo,,,,,,,,,
83,29.1,Colombo,,,,,,,,,
84,28.1,Colombo,,,,,,,,,
85,27.5,Colombo,,,,,,,,,
86,28,Colombo,,,,,,,,,
87,28.2,Colombo,,,,,,,,,
88,27.5,Colombo,,,,,,,,,
89,27.4,Colombo,,,,,,,,,
90,27.6,Colombo,,,,,,,,,
91,28.5,Colombo,,,,,,,,,
92,28.1,Colombo,,,,,,,,,
93,27.1,Colombo,,,,,,,,,
94,27.1,Colombo,,,,,,,,,
95,27.3,Colombo,,,,,,,,,
96,27.3,Colombo,,,,,,,,,
97,28.1,Colombo,,,,,,,,,
98,27.5,Colombo,,,,,,,,,
99,27.4,Colombo,,,,,,,,,
100,27.8,Colombo,,,,,,,,,
101,28.1,Colombo,,,,,,,,,
102,27.8,Colombo,,,,,,,,,
103,26.4,Colombo,,,,,,,,,
104,28.1,Colombo,,,,,,,,,
105,27.6,Colombo,,,,,,,,,
106,27.5,Colombo,,,,,,,,,
107,27.6,Colombo,,,,,,,,,
108,27.5,Colombo,,,,,,,,,
109,27.9,Colombo,,,,,,,,,
110,27.3,Colombo,,,,,,,,,
111,27.5,Colombo,,,,,,,,,
112,27.1,Colombo,,,,,,,,,
113,26.4,Colombo,,,,,,,,,
114,27.4,Colombo,,,,,,,,,
115,27.3,Colombo,,,,,,,,,
116,27.6,Colombo,,,,,,,,,
117,27.7,Colombo,,,,,,,,,
118,27.8,Colombo,,,,,,,,,
119,27.3,Colombo,,,,,,,,,
120,27.9,Colombo,,,,,,,,,
121,28,Colombo,,,,,,,,,
122,27.5,Colombo,,,,,,,,,
123,27.8,Colombo,,,,,,,,,
124,27.7,Colombo,,,,,,,,,
125,27.8,Colombo,,,,,,,,,
126,27.6,Colombo,,,,,,,,,
127,27.1,Colombo,,,,,,,,,
128,26.4,Colombo,,,,,,,,,
129,28,Colombo,,,,,,,,,
130,28.2,Colombo,,,,,,,,,
131,27.8,Colombo,,,,,,,,,
132,27.9,Colombo,,,,,,,,,
133,27.2,Colombo,,,,,,,,,
134,27.5,Colombo,,,,,,,,,
135,26.9,Colombo,,,,,,,,,
136,26.7,Colombo,,,,,,,,,
