,rain_sum,temperature_2m_mean,city,,,,,,,,,,
54076,0.4,27,Galle,,,,,,Summary of Data,,,Summary of Data,
54077,1.4,26.9,Galle,,,,,,,,,,
54078,3.3,26.3,Galle,,,,,,Mean,5.711187958,,Mean,27.11562246
54079,1.2,25.7,Galle,,,,,,Standard Error,0.115280511,,Standard Error,0.011768117
54080,0,26,Galle,,,,,,Median,3.2,,Median,27.1
54081,0.2,25.9,Galle,,,,,,Mode,0,,Mode,27.1
54082,0,26.5,Galle,,,,,,Standard Deviation,8.082799952,,Standard Deviation,0.825111996
54083,1,26.7,Galle,,,,,,Sample Variance,65.33165507,,Sample Variance,0.680809806
54084,0.6,26.7,Galle,,,,,,Kurtosis,65.12091486,,Kurtosis,0.094572781
54085,0,27.5,Galle,,,,,,Skewness,5.352720233,,Skewness,0.117950094
54086,0.5,26.9,Galle,,,,,,Range,177.6,,Range,6.5
54087,5.4,26.8,Galle,,,,,,Minimum,0,,Minimum,23.4
54088,2.7,26.5,Galle,,,,,,Maximum,177.6,,Maximum,29.9
54089,0.6,26.9,Galle,,,,,,Sum,28076.2,,Sum,133300.4
54090,0,27,Galle,,,,,,Count,4916,,Count,4916
54091,1.8,26.6,Galle,,,,,,,,,,
54092,2.1,26.7,Galle,,,Percentile Table,,,,,,,
54093,7,26.5,Galle,,,25%,1,,,,,,
54094,3.6,26.2,Galle,,,50%,3.2,,,,,,
54095,0.1,26.6,Galle,,,75%,7.5,,,,,,
54096,1.5,26.3,Galle,,,,,,,,,,
54097,0.1,26.4,Galle,,,Percentile Table,,,,,,,
54098,0,26.5,Galle,,,25%,26.6,,,,,,
54099,0.5,26.4,Galle,,,50%,27.1,,,,,,
54100,0,26.4,Galle,,,75%,27.7,,,,,,
54101,0,27,Galle,,,,,,,,,,
54102,3.2,26.6,Galle,,,,,,,,,,
54103,0.1,27.5,Galle,,,,,,,,,,
54104,1.5,27.3,Galle,,,,,,,,,,
54105,14.5,26.5,Galle,,,,,,,,,,
54106,20.8,26.6,Galle,,,,,,,,,,
54107,9.3,26.6,Galle,,,,,,,,,,
54108,8.2,26.8,Galle,,,,,,,,,,
54109,1.1,26.9,Galle,,,,,,,,,,
54110,0.1,27.3,Galle,,,,,,,,,,
54111,1.2,27.2,Galle,,,,,,,,,,
54112,0.3,27.6,Galle,,,,,,,,,,
54113,0,27.4,Galle,,,,,,,,,,
54114,0.1,26.7,Galle,,,,,,,,,,
54115,0,27.1,Galle,,,,,,,,,,
54116,7.8,27.3,Galle,,,,,,,,,,
54117,1.7,26.8,Galle,,,,,,,,,,
54118,3,27.3,Galle,,,,,,,,,,
54119,5.7,27.1,Galle,,,,,,,,,,
54120,0.1,27.3,Galle,,,,,,,,,,
54121,0,27.4,Galle,,,,,,,,,,
54122,6.7,26.8,Galle,,,,,,,,,,
54123,2.3,27.6,Galle,,,,,,,,,,
54124,0.7,27.9,Galle,,,,,,,,,,
54125,0.8,27.5,Galle,,,,,,,,,,
54126,0.7,28,Galle,,,,,,,,,,
54127,0,28.2,Galle,,,,,,,,,,
54128,0,28.5,Galle,,,,,,,,,,
54129,0,27.5,Galle,,,,,,,,,,
54130,0,27.4,Galle,,,,,,,,,,
54131,0,27.6,Galle,,,,,,,,,,
54132,0,28.1,Galle,,,,,,,,,,
54133,0,27.5,Galle,,,,,,,,,,
54134,0,27.8,Galle,,,,,,,,,,
54135,0,28.2,Galle,,,,,,,,,,
54136,0,27.6,Galle,,,,,,,,,,
54137,0,27.9,Galle,,,,,,,,,,
54138,1.8,27.9,Galle,,,,,,,,,,
54139,0,27.6,Galle,,,,,,,,,,
54140,0,27.8,Galle,,,,,,,,,,
54141,1.2,29.2,Galle,,,,,,,,,,
54142,3.2,28.3,Galle,,,,,,,,,,
54143,0,28.7,Galle,,,,,,,,,,
54144,0,29,Galle,,,,,,,,,,
54145,0,29.3,Galle,,,,,,,,,,
54146,0.5,28.6,Galle,,,,,,,,,,
54147,0.3,29.3,Galle,,,,,,,,,,
54148,1.4,28.6,Galle,,,,,,,,,,
54149,0,28.6,Galle,,,,,,,,,,
54150,1.4,27.8,Galle,,,,,,,,,,
54151,0.2,28.2,Galle,,,,,,,,,,
54152,3.1,27.3,Galle,,,,,,,,,,
54153,4.3,28,Galle,,,,,,,,,,
54154,1.7,28,Galle,,,,,,,,,,
54155,2.3,27.7,Galle,,,,,,,,,,
54156,2.4,27.8,Galle,,,,,,,,,,
54157,1,28.1,Galle,,,,,,,,,,
54158,6.5,27.2,Galle,,,,,,,,,,
54159,0.8,28.6,Galle,,,,,,,,,,
54160,0.5,28.9,Galle,,,,,,,,,,
54161,4.4,27.4,Galle,,,,,,,,,,
54162,4.7,28.4,Galle,,,,,,,,,,
54163,1.8,28.4,Galle,,,,,,,,,,
54164,2.9,28.3,Galle,,,,,,,,,,
54165,3.3,27.8,Galle,,,,,,,,,,
54166,1.4,28.9,Galle,,,,,,,,,,
54167,1.3,29.2,Galle,,,,,,,,,,
54168,1.7,28.7,Galle,,,,,,,,,,
54169,5.4,27.7,Galle,,,,,,,,,,
54170,9.1,27.3,Galle,,,,,,,,,,
54171,15.6,27.6,Galle,,,,,,,,,,
54172,13,27.7,Galle,,,,,,,,,,
54173,1.6,28.2,Galle,,,,,,,,,,
54174,8.3,28.1,Galle,,,,,,,,,,
54175,6.5,27.8,Galle,,,,,,,,,,
54176,4,28.5,Galle,,,,,,,,,,
54177,4.4,28.4,Galle,,,,,,,,,,
54178,6.1,28.7,Galle,,,,,,,,,,
54179,18.9,26.8,Galle,,,,,,,,,,
54180,4.5,28.7,Galle,,,,,,,,,,
54181,2.5,28.1,Galle,,,,,,,,,,
54182,11.6,27.5,Galle,,,,,,,,,,
54183,12.8,28.1,Galle,,,,,,,,,,
54184,15.1,27.8,Galle,,,,,,,,,,
54185,8.7,28.8,Galle,,,,,,,,,,
54186,9,27.9,Galle,,,,,,,,,,
54187,10.1,28.1,Galle,,,,,,,,,,
54188,6.7,27.5,Galle,,,,,,,,,,
54189,15.7,27,Galle,,,,,,,,,,
54190,7.6,27.9,Galle,,,,,,,,,,
54191,5.3,27.7,Galle,,,,,,,,,,
54192,4.8,27.8,Galle,,,,,,,,,,
54193,1.7,28,Galle,,,,,,,,,,
54194,3.2,27.9,Galle,,,,,,,,,,
54195,2.4,27.9,Galle,,,,,,,,,,
54196,1.9,28.7,Galle,,,,,,,,,,
54197,6.2,28.7,Galle,,,,,,,,,,
54198,5.3,28.4,Galle,,,,,,,,,,
54199,3.4,28.5,Galle,,,,,,,,,,
54200,2.8,28.6,Galle,,,,,,,,,,
54201,15.9,28.7,Galle,,,,,,,,,,
54202,16.6,28,Galle,,,,,,,,,,
54203,22.8,27.7,Galle,,,,,,,,,,
54204,15.8,27.5,Galle,,,,,,,,,,
54205,0.3,29.2,Galle,,,,,,,,,,
54206,0.1,29.2,Galle,,,,,,,,,,
54207,11.2,28.5,Galle,,,,,,,,,,
54208,3.1,28.6,Galle,,,,,,,,,,
54209,9.1,27.3,Galle,,,,,,,,,,
54210,13.1,27.8,Galle,,,,,,,,,,
54211,8.8,27.7,Galle,,,,,,,,,,
54212,10.2,26.7,Galle,,,,,,,,,,
54213,11.5,26.9,Galle,,,,,,,,,,
54214,12.7,27.2,Galle,,,,,,,,,,
54215,47.4,26.4,Galle,,,,,,,,,,
54216,20.2,26.7,Galle,,,,,,,,,,
54217,11.5,27.6,Galle,,,,,,,,,,
54218,8.5,27.6,Galle,,,,,,,,,,
54219,9.5,27.5,Galle,,,,,,,,,,
54220,12.4,27.6,Galle,,,,,,,,,,
54221,4.4,28.1,Galle,,,,,,,,,,
54222,1.1,28.7,Galle,,,,,,,,,,
54223,4.3,28,Galle,,,,,,,,,,
54224,0.9,28.5,Galle,,,,,,,,,,
54225,2.9,28.1,Galle,,,,,,,,,,
54226,1.9,28.3,Galle,,,,,,,,,,
54227,1.3,28.5,Galle,,,,,,,,,,
54228,1.3,28.5,Galle,,,,,,,,,,
54229,2.3,28.4,Galle,,,,,,,,,,
54230,5.8,28.2,Galle,,,,,,,,,,
54231,20.7,27.3,Galle,,,,,,,,,,
54232,7.1,27,Galle,,,,,,,,,,
54233,10.4,27,Galle,,,,,,,,,,
54234,5.8,26.9,Galle,,,,,,,,,,
54235,17.5,27,Galle,,,,,,,,,,
54236,27.6,26.7,Galle,,,,,,,,,,
54237,16.2,26.4,Galle,,,,,,,,,,
54238,7.1,26.9,Galle,,,,,,,,,,
54239,4.6,26.7,Galle,,,,,,,,,,
54240,4.3,27.1,Galle,,,,,,,,,,
54241,3.4,27.5,Galle,,,,,,,,,,
54242,4.2,27.5,Galle,,,,,,,,,,
54243,5.4,27.2,Galle,,,,,,,,,,
54244,12,26.5,Galle,,,,,,,,,,
54245,10.1,27.1,Galle,,,,,,,,,,
54246,4.3,27.1,Galle,,,,,,,,,,
54247,6.1,27.5,Galle,,,,,,,,,,
54248,8.4,27.7,Galle,,,,,,,,,,
54249,18.9,27,Galle,,,,,,,,,,
54250,10.8,27.2,Galle,,,,,,,,,,
54251,6.2,27.8,Galle,,,,,,,,,,
54252,4.4,27.9,Galle,,,,,,,,,,
54253,5.5,27.6,Galle,,,,,,,,,,
54254,22.8,26.6,Galle,,,,,,,,,,
54255,8.6,27.4,Galle,,,,,,,,,,
54256,3.9,27.3,Galle,,,,,,,,,,
54257,9.4,26.1,Galle,,,,,,,,,,
54258,3.6,27.1,Galle,,,,,,,,,,
54259,3.7,27,Galle,,,,,,,,,,
54260,1.5,26.9,Galle,,,,,,,,,,
54261,13.6,26.6,Galle,,,,,,,,,,
54262,0,27.5,Galle,,,,,,,,,,
54263,0.2,27.6,Galle,,,,,,,,,,
54264,7,27.1,Galle,,,,,,,,,,
54265,6,26.9,Galle,,,,,,,,,,
54266,4.2,26.5,Galle,,,,,,,,,,
54267,2.2,27.2,Galle,,,,,,,,,,
54268,16.1,26.4,Galle,,,,,,,,,,
54269,7.6,26.3,Galle,,,,,,,,,,
54270,8.4,26.4,Galle,,,,,,,,,,
54271,6.9,26.3,Galle,,,,,,,,,,
54272,8.1,26.6,Galle,,,,,,,,,,
54273,5.6,26.8,Galle,,,,,,,,,,
54274,7.3,26.7,Galle,,,,,,,,,,
54275,11.4,26.4,Galle,,,,,,,,,,
54276,3.5,26.8,Galle,,,,,,,,,,
54277,2.2,27.4,Galle,,,,,,,,,,
54278,0.5,27.2,Galle,,,,,,,,,,
54279,1.9,27.2,Galle,,,,,,,,,,
54280,2.2,27.3,Galle,,,,,,,,,,
54281,2.2,27.7,Galle,,,,,,,,,,
54282,0.7,27.6,Galle,,,,,,,,,,
54283,5.9,27.1,Galle,,,,,,,,,,
54284,5.3,27.1,Galle,,,,,,,,,,
54285,0.4,27.2,Galle,,,,,,,,,,
54286,2.7,26.8,Galle,,,,,,,,,,
54287,0.6,27.2,Galle,,,,,,,,,,
54288,0,27.6,Galle,,,,,,,,,,
54289,1.7,27.6,Galle,,,,,,,,,,
54290,3,26.7,Galle,,,,,,,,,,
54291,1,27.4,Galle,,,,,,,,,,
54292,0.2,27.5,Galle,,,,,,,,,,
54293,3.9,27.4,Galle,,,,,,,,,,
54294,3.2,27.6,Galle,,,,,,,,,,
54295,3.9,27.3,Galle,,,,,,,,,,
54296,7.9,27.2,Galle,,,,,,,,,,
54297,1.1,27.9,Galle,,,,,,,,,,
54298,2.9,27.8,Galle,,,,,,,,,,
54299,5.7,26.2,Galle,,,,,,,,,,
54300,11.7,26.7,Galle,,,,,,,,,,
54301,5.7,27.1,Galle,,,,,,,,,,
54302,6,26.5,Galle,,,,,,,,,,
54303,4.4,26.3,Galle,,,,,,,,,,
