,rain_sum,temperature_2m_mean,city,,,,,,,,
24580,0.1,25.4,Ratnapura,,,,Summary of Data - rain_sum,,,Summary of Data - temperature_2m_mean,
24581,0.9,25.4,Ratnapura,,,,,,,,
24582,2.5,24.9,Ratnapura,,,,Mean,7.7773393,,Mean,25.14843369
24583,0.2,24.2,Ratnapura,,,,Standard Error,0.149937049,,Standard Error,0.011431408
24584,0,23.6,Ratnapura,,,,Median,4.7,,Median,25.1
24585,0,23.9,Ratnapura,,,,Mode,0,,Mode,24.8
24586,0,24.8,Ratnapura,,,,Standard Deviation,10.51271512,,Standard Deviation,0.801503919
24587,0.7,24.9,Ratnapura,,,,Sample Variance,110.5171792,,Sample Variance,0.642408533
24588,2,25.3,Ratnapura,,,,Kurtosis,39.87986086,,Kurtosis,1.019505634
24589,0.2,25.6,Ratnapura,,,,Skewness,4.609204459,,Skewness,0.259111887
24590,1.7,25.3,Ratnapura,,,,Range,168.6,,Range,8.2
24591,7.9,25,Ratnapura,,,,Minimum,0,,Minimum,19.8
24592,5.7,25,Ratnapura,,,,Maximum,168.6,,Maximum,28
24593,8.6,24.8,Ratnapura,,,,Sum,38233.4,,Sum,123629.7
24594,0,25,Ratnapura,,,,Count,4916,,Count,4916
24595,4.2,25.2,Ratnapura,,,,,,,,
24596,6,25.2,Ratnapura,,,,Percentile Table - rain_sum,,,Percentile Table - temperature_2m_mean,
24597,11.3,24.7,Ratnapura,,,,25%,1.5,,25%,24.6
24598,13.5,24.9,Ratnapura,,,,50%,4.7,,50%,25.1
24599,0,25.3,Ratnapura,,,,75%,10.4,,75%,25.6
24600,0,25.1,Ratnapura,,,,,,,,
24601,0,25.1,Ratnapura,,,,,,,,
24602,0,24.6,Ratnapura,,,,,,,,
24603,0.2,25,Ratnapura,,,,,,,,
24604,0,25.8,Ratnapura,,,,,,,,
24605,0,26,Ratnapura,,,,,,,,
24606,1.5,26.3,Ratnapura,,,,,,,,
24607,1,26.3,Ratnapura,,,,,,,,
24608,0.4,26.3,Ratnapura,,,,,,,,
24609,68.9,24.4,Ratnapura,,,,,,,,
24610,15.1,25.3,Ratnapura,,,,,,,,
24611,24.2,24.9,Ratnapura,,,,,,,,
24612,19.2,25.6,Ratnapura,,,,,,,,
24613,1.5,26.1,Ratnapura,,,,,,,,
24614,0,26,Ratnapura,,,,,,,,
24615,0,25.9,Ratnapura,,,,,,,,
24616,0.1,25.8,Ratnapura,,,,,,,,
24617,0,25.3,Ratnapura,,,,,,,,
24618,0.1,25.7,Ratnapura,,,,,,,,
24619,0.6,24.8,Ratnapura,,,,,,,,
24620,10.2,26.3,Ratnapura,,,,,,,,
24621,1.4,25.5,Ratnapura,,,,,,,,
24622,1.2,25.5,Ratnapura,,,,,,,,
24623,5.9,25.4,Ratnapura,,,,,,,,
24624,0,25.7,Ratnapura,,,,,,,,
24625,0,26,Ratnapura,,,,,,,,
24626,11.2,25.7,Ratnapura,,,,,,,,
24627,6.3,26,Ratnapura,,,,,,,,
24628,1.4,25.3,Ratnapura,,,,,,,,
24629,0,26.3,Ratnapura,,,,,,,,
24630,0.4,25.9,Ratnapura,,,,,,,,
24631,0,26.6,Ratnapura,,,,,,,,
24632,0,26.3,Ratnapura,,,,,,,,
24633,0.1,26.2,Ratnapura,,,,,,,,
24634,1.4,24.9,Ratnapura,,,,,,,,
24635,0,25.7,Ratnapura,,,,,,,,
24636,0,26.5,Ratnapura,,,,,,,,
24637,0,26.2,Ratnapura,,,,,,,,
24638,0,26.1,Ratnapura,,,,,,,,
24639,0,26.2,Ratnapura,,,,,,,,
24640,0,26,Ratnapura,,,,,,,,
24641,0,26.6,Ratnapura,,,,,,,,
24642,1.4,25.5,Ratnapura,,,,,,,,
24643,0,25.1,Ratnapura,,,,,,,,
24644,0,24.6,Ratnapura,,,,,,,,
24645,0,26.8,Ratnapura,,,,,,,,
24646,0.9,27.2,Ratnapura,,,,,,,,
24647,0,27.3,Ratnapura,,,,,,,,
24648,0,27,Ratnapura,,,,,,,,
24649,0,27.8,Ratnapura,,,,,,,,
24650,8.5,26.6,Ratnapura,,,,,,,,
24651,1,26.8,Ratnapura,,,,,,,,
24652,0.6,26.6,Ratnapura,,,,,,,,
24653,0,26.7,Ratnapura,,,,,,,,
24654,0,26.2,Ratnapura,,,,,,,,
24655,0,26.7,Ratnapura,,,,,,,,
24656,3.5,25.7,Ratnapura,,,,,,,,
24657,0.2,26.3,Ratnapura,,,,,,,,
